Model,No,Question,Claude_Diagnoses,Selected_Model_Answer,Similarity_Score,precision,recall,f1_score,matched,total_ground_truth,total_predictions,answer_cosine_similarity,full_answer_cosine_similarity,bleu_score,meteor_score,bert_score
Deepseek,29,Pasien mengalami luka lecet karena terjatuh. Pasien didiagnosis penyakit apa?,luka lecet 100%,Abrasi,0,0,0,0,0,1,1,0,0.3024765679525023,0,0,0.8121680021286011
Deepseek,30,"Pasien terkena petasan di tangan kiri (bisa dispesifikkan bentuk luka selain luka bakar, apakah lecet/robek/terbuka/tembus?). Pasien didiagnosis penyakit apa?",luka bakar 70%; luka bakar 50%,,0,0,0,0,0,2,0,0,0,0,0,0
Deepseek,31,Pasien demam naik turun sejak 2 hari sebelum masuk rs dan nyeri di seluruh tubuh,common fever 70%; demam berdarah dengue 30%,"Infeksi Virus (misalnya, Influenza atau Dengue)",0.38048920093733796,1,0.5,0.6666666666666666,1,2,1,0.10163066979112656,0.3530866974748318,0.07757368,0.098039216,0.9082967042922974
Deepseek,32,"Pasien demam sejak 2 hari lalu dan dirasakan terus menerus, disertai batuk dan pilek",influenza 70%; ispa 50%,infeksi saluran pernapasan atas (ISPA),0.40829430205057443,1,0.5,0.6666666666666666,1,2,1,0.19431434016858148,0.34004348444412036,0.095272625,0.21739130434782608,0.7742749452590942
Deepseek,33,"Pasien demam sejak 2 hari lalu, batuk berdahak, pilek, mual, muntah. Pasien juga buang air besar cair sering.",gastroenteritis 80%; influenza 70%,Infeksi Virus (Flu atau Gastroenteritis Virus),0.39516709088061486,1,0.5,0.6666666666666666,1,2,1,0.15055696960204953,0.46273254698718713,0.07757368,0.4166666666666667,0.8174452185630798
Deepseek,34,"Pasien demam sejak 2 hari lalu, batuk kering dan pilek.",ispa 50%; influenza 70%,Influenza (Flu),0.45082907818287726,1,0.5,0.6666666666666666,1,2,1,0.33609692727625756,0,0.2617965237082947,0.25,0.9122320413589478
Deepseek,35,"Pasien demam sejak 2 hari lalu, disertai batuk pilek dan sakit tenggorokan, badan terasa ngilu, menggigil, juga mual.",influenza 50%; tonsilitis 70%; faringitis 100%,Influenza (Flu),0.31150003465021203,1,0.3333333333333333,0.5,1,3,1,0.2605556710562624,0.3280755735954773,0.15878761823526605,0.17241379310344826,0.889199972
Deepseek,36,"Pasien demam tinggi sejak 3 hari lalu, batuk berdahak dan pilek",ispa 70%; pneumonia 50%,Pneumonia (Jika Ada Tanda Infeksi Paru),0.40273582351800385,1,0.5,0.6666666666666666,1,2,1,0.1757860783933462,0,0.07757368,0.20833333333333334,0.8137121796607971
Deepseek,37,"Pasien mengalami nyeri di bagian perut atas atau ulu hati, terasa panas di dada dan tenggorokan. Pasien mual dan lemas. Pasien memiliki riwayat darah tinggi. Pasien didiagnosis penyakit apa?",gastritis 70%; gerd 90%; tukak lambung (ulkus gaster) 70%,GERD (Gastroesophageal Reflux Disease),0.2678979963467127,1,0.3333333333333333,0.5,1,3,1,0.11521554337793122,0.3176073191599572,0.075556,0.086206897,0.8555231094360352
Deepseek,38,"Pasien mengalami nyeri di bagian ulu hati atau perut bagian atas dan terasa terbakar hingga keringat dingin. Pasien mual, pusing, dan muntah-muntah",dispepsia 70%; gastritis 70%; gerd 90%,Refluks Asam (GERD),0.2939312610827088,1,0.3333333333333333,0.5,1,3,1,0.20199309249791833,0,0.17429327608510298,0.16666666666666666,0.8181008100509644
Deepseek,39,"Pasien mengalami nyeri di bagian ulu hati atau perut bagian atas, hingga terasa panas sampai ke dada dan pusing. Pasien mengalami riwayat hipertensi. Pasien didiagnosis penyakit apa?",dispepsia 70%; gastritis 70%; gerd 90%,gastroesophageal reflux disease (GERD),0.28456616729036827,1,0.3333333333333333,0.5,1,3,1,0.17077611319011649,0.3993530876431604,0.12457078372098722,0.16129032258064518,0.8728110790252686
Deepseek,40,Pasien mengalami nyeri hebat di perut bagian atas atau ulu hati sampai keringat dingin. Pasien mengalami mual dan muntah,dispepsia 70%; gastritis 70%,Ulkus Peptik (Tukak Lambung atau Usus),0,0,0,0,0,2,1,0,0.3958273318106815,0,0,0.7714282274246216
Deepseek,41,"Pasien mengalami sesak nafas sejak 3 jam lalu, lemas, batuk, dan pilek. Pasien memiliki riwayat asma. Pasien didiagnosis penyakit apa?",asma 70%; bronkitis 50%; ispa 50%,Bronkitis akut,0.31150003465021203,1,0.3333333333333333,0.5,1,3,1,0.2605556710562624,0,0.15878761823526605,0.17241379310344826,0.9431649446487427
Deepseek,42,"Pasien nyeri di ulu hati sampai terasa panas ke dada, keringat dingin sampai tidak bisa tidur. Pasien sakit apa?",dispepsia 70%; gastritis 70%; gerd 90%,Gastroesophageal Reflux Disease (GERD),0.28456616729036827,1,0.3333333333333333,0.5,1,3,1,0.17077611319011649,0.45021486398426747,0.12457078372098722,0.16129032258064518,0.8728110790252686
Deepseek,43,"Pasien nyeri ulu hati, sesak 2 hari sebelum masuk rumah sakit, dan mual",gangguan saluran pencernaan 50%; dispepsia 70%,Gangguan Pankreas atau Empedu,0.043315067,0,0,0,0,2,1,0.1443835552773867,0,0.12457078372098722,0.125,0.9576023817062378
Deepseek,44,Pasien sesak nafas sejak 4 jam sebelum masuk rs dan memberat saat tidur. Pasien batuk dan pilek. Pasien sakit apa?,bronkitis 50%; ispa 70%; gangguan kardiovaskular 50%,Infeksi Saluran Pernapasan (ISPA),0.2766483999165493,1,0.3333333333333333,0.5,1,3,1,0.1443835552773867,0,0.12457078372098722,0.125,0.8284122943878174
Deepseek,45,Pasien sesak sejak 4 jam sebelum masuk rs dan memberat ketika tidur malam. Batuk sejak 2 hari lalu dan memiliki riwayat asma. Pasien sakit apa?,asma 70%; bronkitis 50%,eksaserbasi asma,0.45082907818287726,1,0.5,0.6666666666666666,1,2,1,0.33609692727625756,0.4148625417977421,0.2617965237082947,0.25,0.7699341773986816
